Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,31,738,4%
Acrobatic part,9,240,4%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Dance Figure (DF),12,123,10%
Choregraphy (CO),10,123,8%
Acrobatic figure (Acro 1 to 6),9,240,4%
Footwork woman (FW),4,123,3%
Small mistakes (SM),2,123,2%
Big mistakes (BM),2,123,2%
Footwork man (FM),1,123,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,16,252,6%
Adults,20,552,4%
Formations,4,174,2%

Top 5 anomalies
Rock'n'Roll-Main Class Free Style,bm,Final - Acrobatic,Heat 4 Stn. 15,[0.0 0.0 -40.0]
Rock'n'Roll-Main Class Start,Acro 6,Final,Heat 1 Stn. 142,[-35.0 -75.0 -75.0]
Rock'n'Roll-Beginners,sm,First round,Heat 1 Stn. 55,[-4.0 0.0 -10.0 -2.0 -2.0 -6.0]
Rock'n'Roll-Main Class Contact Style,Acro 6,Final - Acrobatic,Heat 3 Stn. 179,[-35.0 -75.0 -50.0]
Rock'n'Roll-Main Class Contact Style,Acro 5,Hope round,Heat 3 Stn. 225,[-15.0 -50.0 -15.0]

